hasdog,extracurriculars,job,studytime,age,skateboards,brownhair,extraclasses,familysupport,college,scholarship,GRADE
no,no,no,greater_than_10,17,yes,yes,no,yes,yes,yes,A
no,no,no,5_to_10hr,16,yes,yes,yes,yes,yes,no,A
no,no,yes,greater_than_10,15,yes,yes,yes,yes,yes,yes,A
yes,no,no,greater_than_10,15,yes,no,no,no,no,no,A
no,no,no,5_to_10hr,14,no,yes,yes,yes,yes,yes,A
yes,yes,no,greater_than_10,17,yes,no,yes,no,yes,yes,A
no,yes,yes,5_to_10hr,17,yes,yes,yes,yes,yes,no,A
yes,yes,no,greater_than_10,16,yes,no,no,no,yes,yes,A
yes,yes,no,greater_than_10,16,yes,yes,yes,yes,yes,yes,A
no,no,yes,greater_than_10,15,yes,yes,yes,yes,yes,yes,A
no,no,yes,greater_than_10,15,yes,yes,yes,yes,yes,no,A
no,no,no,greater_than_10,18,no,yes,no,yes,yes,yes,A
no,no,yes,5_to_10hr,18,yes,yes,yes,yes,yes,yes,A
yes,no,yes,greater_than_10,16,no,no,no,no,yes,yes,A
no,yes,no,greater_than_10,14,yes,yes,yes,yes,yes,yes,A
no,no,yes,2_to_5hr,15,yes,yes,yes,yes,yes,yes,B
no,no,yes,2_to_5hr,15,yes,yes,yes,yes,yes,yes,B
yes,yes,yes,2_to_5hr,15,yes,yes,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,14,yes,yes,yes,yes,yes,no,B
yes,no,yes,greater_than_10,17,yes,no,no,no,yes,yes,B
no,yes,yes,less_than_2hr,14,yes,yes,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,16,no,no,no,no,yes,yes,B
no,yes,yes,2_to_5hr,14,yes,yes,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,17,yes,yes,yes,yes,yes,yes,B
no,no,yes,greater_than_10,17,no,no,no,no,yes,yes,B
no,no,yes,less_than_2hr,14,yes,yes,yes,yes,yes,no,B
no,yes,no,2_to_5hr,17,yes,yes,yes,yes,yes,no,B
yes,no,yes,5_to_10hr,17,no,no,no,no,yes,no,B
no,yes,yes,2_to_5hr,18,yes,yes,yes,yes,yes,yes,B
no,no,yes,less_than_2hr,15,yes,yes,yes,yes,no,no,C
no,yes,no,less_than_2hr,14,yes,yes,yes,yes,no,no,C
no,yes,no,less_than_2hr,14,yes,yes,yes,yes,no,no,C
yes,yes,no,less_than_2hr,17,yes,no,yes,no,no,no,C
no,yes,no,2_to_5hr,16,yes,yes,no,yes,no,no,C
no,yes,no,less_than_2hr,14,yes,yes,yes,yes,no,no,C
yes,yes,yes,less_than_2hr,14,no,no,yes,yes,yes,no,C
no,no,no,2_to_5hr,14,yes,yes,no,yes,no,no,C
no,yes,no,less_than_2hr,17,yes,yes,no,yes,no,no,C
yes,yes,no,less_than_2hr,16,yes,yes,yes,yes,no,no,C
no,yes,no,less_than_2hr,14,yes,yes,yes,yes,no,yes,C
no,yes,yes,2_to_5hr,16,yes,yes,yes,yes,no,no,C
no,yes,yes,2_to_5hr,18,yes,yes,no,yes,no,yes,C
no,no,yes,2_to_5hr,18,yes,yes,yes,yes,no,yes,C
no,no,yes,less_than_2hr,15,yes,yes,yes,yes,no,yes,F
yes,yes,yes,less_than_2hr,16,yes,no,no,no,no,no,F
no,yes,no,less_than_2hr,18,yes,no,no,no,no,no,F
yes,yes,yes,less_than_2hr,14,yes,no,no,no,yes,no,F
no,no,yes,less_than_2hr,17,yes,yes,no,yes,no,no,F
yes,yes,yes,less_than_2hr,17,no,no,no,no,no,no,F
no,yes,no,less_than_2hr,17,yes,no,no,no,no,no,F
yes,yes,no,2_to_5hr,16,yes,no,no,no,no,no,F
no,no,no,greater_than_10,15,yes,yes,yes,yes,no,no,F
