hasdog,extracurriculars,job,studytime,age,skateboards,brownhair,extraclasses,familysupport,college,scholarship,GRADE
yes,no,no,greater_than_10,14,yes,yes,yes,yes,yes,no,A
yes,yes,no,5_to_10hr,14,yes,yes,yes,yes,yes,yes,A
no,no,yes,greater_than_10,17,yes,no,no,no,yes,no,A
no,no,yes,greater_than_10,18,yes,yes,no,yes,yes,yes,A
no,yes,yes,greater_than_10,14,yes,no,no,no,yes,yes,A
yes,no,yes,greater_than_10,14,yes,no,no,no,yes,yes,A
yes,yes,no,5_to_10hr,17,yes,yes,yes,yes,yes,yes,A
no,yes,yes,greater_than_10,18,yes,yes,yes,yes,yes,yes,A
yes,no,yes,greater_than_10,16,yes,yes,yes,yes,yes,no,A
no,no,yes,5_to_10hr,18,yes,yes,yes,yes,yes,yes,A
yes,no,yes,greater_than_10,18,yes,no,no,no,yes,yes,A
no,yes,yes,greater_than_10,14,yes,no,no,no,yes,yes,A
no,no,yes,greater_than_10,16,yes,yes,yes,yes,yes,yes,A
no,yes,no,greater_than_10,15,yes,yes,yes,yes,yes,no,A
yes,no,no,5_to_10hr,17,yes,yes,no,yes,yes,yes,B
yes,yes,no,less_than_2hr,15,yes,no,yes,no,yes,yes,B
no,yes,no,5_to_10hr,16,yes,yes,no,yes,yes,no,B
no,yes,yes,2_to_5hr,18,yes,yes,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,16,yes,yes,yes,yes,yes,yes,B
yes,yes,no,5_to_10hr,17,yes,no,no,no,yes,yes,B
no,no,no,5_to_10hr,16,yes,yes,yes,yes,yes,yes,B
yes,no,yes,5_to_10hr,16,no,no,no,yes,yes,yes,B
no,yes,no,2_to_5hr,17,yes,yes,yes,yes,yes,no,B
no,yes,no,2_to_5hr,18,yes,yes,yes,yes,yes,no,B
no,yes,yes,2_to_5hr,15,yes,yes,yes,yes,no,no,B
no,yes,yes,2_to_5hr,14,yes,yes,yes,yes,yes,no,B
no,yes,yes,2_to_5hr,15,yes,yes,yes,yes,yes,no,B
no,no,yes,less_than_2hr,15,yes,yes,yes,yes,no,yes,C
yes,yes,no,2_to_5hr,17,yes,no,yes,no,no,no,C
no,yes,no,less_than_2hr,15,no,yes,no,yes,no,no,C
no,no,no,less_than_2hr,17,no,no,no,yes,no,yes,C
yes,yes,no,2_to_5hr,17,yes,no,yes,no,no,no,C
no,yes,no,2_to_5hr,18,yes,yes,yes,yes,no,no,C
no,yes,yes,2_to_5hr,18,yes,yes,yes,no,yes,yes,C
no,yes,no,less_than_2hr,14,yes,yes,yes,yes,no,no,C
no,yes,no,2_to_5hr,18,no,no,no,yes,no,yes,C
no,yes,no,2_to_5hr,15,no,yes,no,yes,no,no,C
yes,no,yes,less_than_2hr,18,yes,no,no,no,no,no,C
no,yes,no,2_to_5hr,14,yes,yes,no,yes,no,yes,C
no,yes,yes,less_than_2hr,15,yes,yes,yes,yes,no,no,C
no,yes,no,2_to_5hr,15,no,no,no,no,no,no,F
no,yes,no,5_to_10hr,17,yes,yes,yes,yes,no,yes,F
no,yes,no,5_to_10hr,17,yes,yes,yes,yes,no,yes,F
yes,yes,no,2_to_5hr,15,yes,no,no,no,no,no,F
yes,yes,yes,2_to_5hr,14,yes,no,no,no,no,no,F
no,yes,no,2_to_5hr,16,no,no,no,no,no,no,F
yes,yes,no,less_than_2hr,18,no,no,no,no,no,yes,F
no,yes,no,2_to_5hr,17,no,no,no,no,no,yes,F
no,no,no,2_to_5hr,16,yes,no,no,no,no,no,F
